ComplexName	subunits(UniProt IDs)	subunits(Entrez IDs)	GO description	FunCat description	subunits(Gene name)	Subunits comment	Complex comment	Disease comment
TAK1 complex	O43318;Q15750;Q9NYJ8	6885;10454;23118	protein phosphorylation;I-kappaB kinase/NF-kappaB signaling;JNK cascade	"modification by phosphorylation, dephosphorylation, autophosphorylation;NIK-I-kappaB/NF-kappaB cascade;JNK cascade"	MAP3K7;TAB1;TAB2	None	TAK1 complex stimulates IKK/NF-kappaB in the presence of UBC13-UEV1A complex and TRAF6.	None
MBD1-MCAF complex	Q6VMQ6;Q9UIS9	55729;4152	"DNA topological change;negative regulation of transcription, DNA-templated;chromosome organization;nucleus"	DNA conformation modification (e.g. chromatin);transcription repression;organization of chromosome structure;nucleus	ATF7IP;MBD1	None	"MBD1 directly prevents transcription from methylated promoters in a histone deacetylation-independent manner, through interacting with MCAF. MBD1 competes with Sp1 for binding to MCAF. MBD1-MCAF complex blocks transcription through affecting Sp1 on methylated promoter regions."	None
SMAD3-SMAD4-FOXO3 complex	O43524;P84022;Q13485	2309;4088;4089	"regulation of RNA biosynthetic process;regulation of transcription, DNA-templated;DNA binding;transforming growth factor beta receptor signaling pathway;nucleus"	transcriptional control;DNA binding;TGF-beta-receptor signalling pathway;nucleus	FOXO3;SMAD3;SMAD4	None	"Endogenous FoxO1, FoxO3, and FoxO4 bind to endogenous Smad2/3 and Smad4. Formation of these complexes was absolutely dependent on TGF-beta stimulation, as was the formation of a Smad2/3-Smad4 complex."	None
SMAD3-SMAD4-FOXO1 complex	P84022;Q12778;Q13485	4088;2308;4089	"regulation of RNA biosynthetic process;regulation of transcription, DNA-templated;DNA binding;transforming growth factor beta receptor signaling pathway;nucleus"	transcriptional control;DNA binding;TGF-beta-receptor signalling pathway;nucleus	SMAD3;FOXO1;SMAD4	None	"Endogenous FoxO1, FoxO3, and FoxO4 bind to endogenous Smad2/3 and Smad4. Formation of these complexes was absolutely dependent on TGF-beta stimulation, as was the formation of a Smad2/3-Smad4 complex."	None
SMAD3-SMAD4-FOXO4 complex	P84022;P98177;Q13485	4088;4303;4089	"regulation of RNA biosynthetic process;regulation of transcription, DNA-templated;DNA binding;transforming growth factor beta receptor signaling pathway;nucleus"	transcriptional control;DNA binding;TGF-beta-receptor signalling pathway;nucleus	SMAD3;FOXO4;SMAD4	None	"Endogenous FoxO1, FoxO3, and FoxO4 bind to endogenous Smad2/3 and Smad4. Formation of these complexes was absolutely dependent on TGF-beta stimulation, as was the formation of a Smad2/3-Smad4 complex."	None
MBD1-Suv39h1-HP1 complex	O43463;P45973;Q9UIS9	6839;23468;4152	"regulation of gene expression by genetic imprinting;negative regulation of transcription, DNA-templated;protein hydroxylation;protein methylation;nucleus"	"DNA imprinting and other epigenetic effects;transcription repression;posttranslational modification of amino acids (e.g. hydroxylation, methylation);nucleus"	SUV39H1;CBX5;MBD1	None	MBD1 tethers the Suv39h1-HP1 complex to methylated DNA regions. MBD1 interacts with Suv39h1-HP1 complex via MBD domain.	None
PRMT5 complex	O14744	10419	protein hydroxylation;protein methylation;cytoplasm	"posttranslational modification of amino acids (e.g. hydroxylation, methylation);cytoplasm"	PRMT5	None	"PRMT5 (protein-arginine methyltransferase) formes distinct homo-oligomeric complexes, including a dimer and tetramer. Recombinant PRMT5 protein methylates myelin basic protein, histone, and the amino terminus of fibrillarin."	None
PRMT1 complex	Q99873	3276	protein hydroxylation;protein methylation;nucleus	"posttranslational modification of amino acids (e.g. hydroxylation, methylation);nucleus"	PRMT1	None	"PRMT1 (protein-arginine methyltransferase) formes distinct homo-oligomeric complexes, including a dimer and tetramer."	None
TERF2-RAP1 complex	P12956;P13010;P49959;Q15554;Q92878;Q9BSI4;Q9NYB0	2547;7520;4361;7014;10111;26277;54386	DNA binding;cellular response to DNA damage stimulus;chromosome organization;nucleus	DNA binding;DNA damage response;organization of chromosome structure;nucleus	XRCC6;XRCC5;MRE11A;TERF2;RAD50;TINF2;TERF2IP	None	This complex is responsible for proper maintenance of telomere length and structure.	None
RAD50-MRE11-NBN-p200-p350 complex	O60934;P49959;Q92878	4683;4361;10111	DNA catabolic process;DNA repair;cell cycle checkpoint;DNA binding;cellular response to DNA damage stimulus;nucleus	"DNA degradation;DNA repair;cell cycle checkpoints (checkpoints of morphogenesis, DNA-damage,-replication, mitotic phase and spindle);DNA binding;DNA damage response;nucleus"	NBN;MRE11A;RAD50	"Two other subunits of the complex were found in the analysis, which have not been further characterized: p350 and p200."	None	None
ITGA6-ITGB4-CD9 complex	P16144;P21926;P23229	3691;928;3655	movement of cell or subcellular component	cell motility	ITGB4;CD9;ITGA6	None	None	None
"Ubiquitin E3 ligase (CRY1, SKP1A, CUL1, FBXL3)"	P63208;Q13616;Q16526;Q9UKT7	6500;8454;1407;26224	protein ubiquitination;proteasome-mediated ubiquitin-dependent protein catabolic process;ubiquitin-dependent protein catabolic process;ultradian rhythm;rhythmic process;nucleus	"modification by ubiquitination, deubiquitination;proteasomal degradation (ubiquitin/proteasomal pathway);rhythm (e.g. circadian, ultradian);nucleus"	SKP1;CUL1;CRY1;FBXL3	None	"Ubiquitin E3 ligases covalently attach ubiquitin to a lysine residue on a target protein. Polyubiquitination marks proteins for degradation by the proteasome. Cry1 and Cry2, encode inhibitors of the Clock-Bmal1 complex that establish a negative-feedback loop. Cry1 and Cry2 proteins are ubiquitinated and degraded via the SCF(Fbxl3) ubiquitin ligase complex. This regulation by SCF(Fbxl3) is a prerequisite for the efficient and timely reactivation of Clock-Bmal1 and the consequent expression of Per1 and Per2, two regulators of the circadian clock that display tumor suppressor activity."	None
"Ubiquitin E3 ligase (CRY2, SKP1A, CUL1, FBXL3)"	P63208;Q13616;Q49AN0;Q9UKT7	6500;8454;1408;26224	protein ubiquitination;proteasome-mediated ubiquitin-dependent protein catabolic process;ubiquitin-dependent protein catabolic process;ultradian rhythm;rhythmic process;nucleus	"modification by ubiquitination, deubiquitination;proteasomal degradation (ubiquitin/proteasomal pathway);rhythm (e.g. circadian, ultradian);nucleus"	SKP1;CUL1;CRY2;FBXL3	None	"Ubiquitin E3 ligases covalently attach ubiquitin to a lysine residue on a target protein. Polyubiquitination marks proteins for degradation by the proteasome. Cry1 and Cry2, encode inhibitors of the Clock-Bmal1 complex that establish a negative-feedback loop. Cry1 and Cry2 proteins are ubiquitinated and degraded via the SCF(Fbxl3) ubiquitin ligase complex. This regulation by SCF(Fbxl3) is a prerequisite for the efficient and timely reactivation of Clock-Bmal1 and the consequent expression of Per1 and Per2, two regulators of the circadian clock that display tumor suppressor activity."	None
MDC1-H2AFX-TP53BP1 complex	P16104;Q12888;Q14676	3014;7158;9656	DNA repair;cell cycle checkpoint;DNA binding;cellular response to DNA damage stimulus;nucleus	"DNA repair;cell cycle checkpoints (checkpoints of morphogenesis, DNA-damage,-replication, mitotic phase and spindle);DNA binding;DNA damage response;nucleus"	H2AFX;TP53BP1;MDC1	None	MDC1 forms complexes with phosporylated H2AFX.	None
MDC1-p53BP1-SMC1 complex	Q12888;Q14676;Q14683	7158;9656;8243	DNA repair;cell cycle checkpoint;DNA binding;nucleus	"DNA repair;cell cycle checkpoints (checkpoints of morphogenesis, DNA-damage,-replication, mitotic phase and spindle);DNA binding;nucleus"	TP53BP1;MDC1;SMC1A	None	Interaction of MDC1 with 53BP1 and SMC1 is unaffected by DNA damage.	None
RAD50-BRCA1 complex	P38398;Q92878	672;10111	DNA repair;nucleus	DNA repair;nucleus	BRCA1;RAD50	None	None	BRCA1 is involved in breast cancer.
BARD1-BRCA1-CSTF64 complex	P33240;P38398;Q99728	1478;672;580	RNA 3'-end processing;mRNA 3'-end processing;cellular response to DNA damage stimulus;nucleus	3'-end processing;DNA damage response;nucleus	CSTF2;BRCA1;BARD1	None	DNA damage increases formation of a CstF-BARD1-BRCA1 inhibitory complex. Complex formation represses polyadenylation of mRNA.	BRCA1 is involved in breast cancer.
BRCA1 A complex	P38398;Q6UWZ7;Q96RL1;Q99728	672;84142;51720;580	DNA repair;cell cycle checkpoint;response to radiation;nucleus	"DNA repair;cell cycle checkpoints (checkpoints of morphogenesis, DNA-damage,-replication, mitotic phase and spindle);electromagnetic waves stress response (e.g. UV, X-ray);nucleus"	BRCA1;FAM175A;UIMC1;BARD1	None	None	BRCA1 is involved in breast cancer.
BRCA1 C complex	P38398;Q96RL1;Q99708;Q99728	672;51720;5932;580	DNA recombination;cell cycle checkpoint;nucleus	"DNA recombination;cell cycle checkpoints (checkpoints of morphogenesis, DNA-damage,-replication, mitotic phase and spindle);nucleus"	BRCA1;UIMC1;RBBP8;BARD1	None	None	BRCA1 is involved in breast cancer.
BRCA1 B complex	O14867;P38398;Q99728	571;672;580	DNA recombination;nucleus	DNA recombination;nucleus	BACH1;BRCA1;BARD1	None	None	BRCA1 is involved in breast cancer.
ETS2-ERG complex	P11308;P15036	2078;2114	"regulation of RNA biosynthetic process;regulation of transcription, DNA-templated;DNA binding;nucleus"	transcriptional control;DNA binding;nucleus	ERG;ETS2	None	The authors found that different domains of ETS2 make contacts with the Fos/Jun complex and with other members of the Ets family to form stable heterotrimeric ETS2/Fos/Jun and heterodimeric ETS2/ERG and ETS2/ETS1 complexes.	None
ETS2-ETS1 complex	P14921;P15036	2113;2114	"regulation of RNA biosynthetic process;regulation of transcription, DNA-templated;DNA binding;nucleus"	transcriptional control;DNA binding;nucleus	ETS1;ETS2	None	The authors found that different domains of ETS2 make contacts with the Fos/Jun complex and with other members of the Ets family to form stable heterotrimeric ETS2/Fos/Jun and heterodimeric ETS2/ERG and ETS2/ETS1 complexes.	None
MCM4-MCM6-MCM7 complex	P33991;P33993;Q14566	4173;4176;4175	chromosome organization;DNA replication;ATP binding;nucleus	organization of chromosome structure;DNA synthesis and replication;ATP binding;nucleus	MCM4;MCM7;MCM6	None	This complex has DNA helicase activity.	None
MCM2-MCM4-MCM6-MCM7 complex	P33991;P33993;P49736;Q14566	4173;4176;4171;4175	chromosome organization;DNA replication;ATP binding;nucleus	organization of chromosome structure;DNA synthesis and replication;ATP binding;nucleus	MCM4;MCM7;MCM2;MCM6	None	This complex has DNA helicase activity.	None
PCNA-CHL12-RFC2-5 complex	P12004;P35249;P35250;P40937;P40938;Q8WVB6	5111;5984;5982;5985;5983;63922	DNA replication;nucleus	DNA synthesis and replication;nucleus	PCNA;RFC4;RFC2;RFC5;RFC3;CHTF18	None	CHL12-RFC2-5 functions as a novel clamp loader protein.	None
MMP-2-CLDN1 complex	O95832;P08253	9076;4313	metallopeptidase activity	None	CLDN1;MMP2	None	None	None
RFC complex	P35249;P35250;P35251;P40937;P40938	5984;5982;5981;5985;5983	DNA replication;DNA repair;cell cycle checkpoint;DNA binding;nucleus	"DNA synthesis and replication;DNA repair;cell cycle checkpoints (checkpoints of morphogenesis, DNA-damage,-replication, mitotic phase and spindle);DNA binding;nucleus"	RFC4;RFC2;RFC1;RFC5;RFC3	None	Assembly of RFC complex involves distinct subunit interations: RFC5 and RFC3 interact with the RFC4 subunit and RFC2 interacts with RFC5 and RFC4. RFC1 interacts primarily with RFC3 and RFC2. RFC complex functions as clamp loader. The complex is necessary for loading of PCNA onto dsDNA.	None
OCT4-SOX2 DNA-protein complex	P48431;Q01860	6657;5460	"regulation of RNA biosynthetic process;regulation of transcription, DNA-templated;DNA binding;embryo development ending in birth or egg hatching;nucleus"	transcriptional control;DNA binding;early embryogenesis;nucleus	SOX2;POU5F1	None	"The authors analyzed the interaction of the two transcription factors Oct4 with Sox2 on the DNA enhancers of FGF4 (fibroblast growth factor 4) and UTF1 (undifferentiated transcription factor 1). The structural models revealed that the FGF4 and the UTF1  enhancers mediate the assembly of distinct POU/HMG-domain complexes, leading to different quaternary arrangements by swapping protein-protein interaction surfaces of Sox2."	None
OCT1-SOX2 DNA-protein complex	P14859;P48431	5451;6657	"regulation of RNA biosynthetic process;regulation of transcription, DNA-templated;DNA binding;embryo development ending in birth or egg hatching;nucleus"	transcriptional control;DNA binding;early embryogenesis;nucleus	POU2F1;SOX2	None	"The authors analyzed the interaction of the two transcription factors Oct1 with Sox2 on the DNA enhancers of FGF4 (fibroblast growth factor 4) and UTF1 (undifferentiated transcription factor 1). The structural models revealed that the FGF4 and the UTF1  enhancers mediate the assembly of distinct POU/HMG-domain complexes, leading to different quaternary arrangements by swapping protein-protein interaction surfaces of Sox2."	None
PAX6-SOX2 DNA-protein complex	P26367;P48431	5080;6657	"regulation of RNA biosynthetic process;regulation of transcription, DNA-templated;DNA binding;multicellular organism reproduction;eye development;nucleus"	transcriptional control;DNA binding;late embryogenesis ;eye;nucleus	PAX6;SOX2	None	"The authors analyzed the interaction of the two transcription factors Pax6 with Sox2 on the DNA enhancer of DC5. It was demonstrated that the same Sox2 interface (the C-terminal region of HMG) is required for heterodimer formation with Oct4 on FGF4 and with Pax6 on DC5, although these two Sox2 partners are members of different transcription factor families and, as such, both unrelated in sequence and structure."	None
CTF18-cohesion-RFC complex	P0CG13;P35249;P35250;P40937;P40938;Q8WVB6;Q9BVC3	54921;5984;5982;5985;5983;63922;79075	DNA replication;chromosome segregation;DNA binding;chromosome organization;nucleus	DNA synthesis and replication;chromosome segregation/division;DNA binding;organization of chromosome structure;nucleus	CHTF8;RFC4;RFC2;RFC5;RFC3;CHTF18;DSCC1	None	"CTF18-RFC complex interacts with PCNA homotrimer in the pressence of ATP and loads PCNA onto primed and gapped circular DNA, but not onto nicked or single-stranded circular DNA."	None
CTF8-DCC1 subcomplex	P0CG13;Q9BVC3	54921;79075	chromosome segregation;protein binding;chromosome organization;nucleus	chromosome segregation/division;protein binding;organization of chromosome structure;nucleus	CHTF8;DSCC1	None	None	None
CTF18-CTF8-DCC1 complex	P0CG13;Q8WVB6;Q9BVC3	54921;63922;79075	chromosome segregation;protein binding;chromosome organization;nucleus	chromosome segregation/division;protein binding;organization of chromosome structure;nucleus	CHTF8;CHTF18;DSCC1	None	None	None
9-1-1-APE1 complex	O60671;O60921;P27695;Q99638	5810;3364;328;5883	DNA catabolic process;RNA catabolic process;DNA repair;cell cycle checkpoint;cellular response to DNA damage stimulus;nucleus	"DNA degradation;RNA degradation;DNA repair;cell cycle checkpoints (checkpoints of morphogenesis, DNA-damage,-replication, mitotic phase and spindle);DNA damage response;nucleus"	RAD1;HUS1;APEX1;RAD9A	None	The 9-1-1 complex specifically stimulates the endonuclease activity of APEX1 for DNA repair.	None
